N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
64369;11/24/2016 1:05:26 PM;GRAMOS;WAITING CLIENT;PROTEGE - PROTEGE;PROTEGE - PROTEGE;NC;Brazil;Americas;GRAMOS;DELL;SERVER;DRIVE problem;;;;H+6 REPAR 24;11/24/2016 7:05:26 PM;O;CALL;;;NOK;;NOK
64366;11/24/2016 12:51:04 PM;GRAMOS;PLANNING;PROTEGE - PROTEGE;PROTEGE - PROTEGE;355369;Brazil;Americas;GRAMOS;DELL;SERVER;NO HW Problem;11/25/2016 1:00:00 PM;SAEZO;Ozeas Santos;BEST_EFFORT;2016-01-12 12:51:04;O;CALL;;OK;;;OK
64304;11/23/2016 1:38:32 PM;GRAMOS;WAITING CLIENT;PROTEGE - PROTEGE;PROTEGE - PROTEGE;NC;Brazil;Americas;GRAMOS;DELL;SERVER;HDD problem;;;;H+6 REPAR 24;11/23/2016 7:53:55 PM;O;CALL;;;NOK;;NOK
64300;11/23/2016 12:57:16 PM;GRAMOS;WAITING CLIENT;COOPERATIVA STA CLARA - COOPERATIVA STA CLARA;COOPERATIVA SANTA CLARA;PROBL-17759;Brazil;Americas;GRAMOS;IBM;STORAGE;HDD problem;;;;J+1;11/24/2016 12:57:16 PM;O;CALL;;NOK;;78N27VF;NOK
64299;11/23/2016 12:51:15 PM;GRAMOS;CLOSED;CAPGEMINI - BRADESCO;BRADESCO;5693288;Brazil;Americas;GRAMOS;DELL;STORAGE;HDD problem;11/24/2016 2:50:00 AM;FOS;Victor Herculano;H+6 REPAR 24;11/24/2016 4:56:43 AM;C;CALL;11/24/2016 12:58:29 PM;;OK;20J9SS1 / GFH9SS1;OK
64266;11/22/2016 9:16:52 PM;GRAMOS;RESOLVED;OPENTEXT - OPENTEXT;GXS;NC;Brazil;Americas;GRAMOS;DELL;SERVER;HDD problem;11/23/2016 3:00:00 PM;FOS;Jose Marcelo;H+4 SITE 24;11/23/2016 6:54:35 PM;O;CALL;;NOK;;CSZNY91;NOK
64264;11/22/2016 8:26:15 PM;GRAMOS;PLANNING;SOPRANO - SOPRANO;SOPRANO - SOPRANO;NC;Brazil;Americas;GRAMOS;EMC;STORAGE;HDD problem;11/28/2016 7:00:00 PM;Customer;Customer;H+4 SITE 24;11/23/2016 6:36:12 PM;O;CALL;;NOK;;BZCNHH1;NOK
64247;11/22/2016 3:45:52 PM;GRAMOS;PLANNING;BOM JESUS - BOM JESUS;BOM JESUS;NC;Brazil;Americas;GRAMOS;HP;STORAGE;HDD problem;11/25/2016 3:00:00 PM;Customer;Customer;H+4 SITE 24;11/22/2016 7:45:52 PM;O;CALL;;NOK;;USE2299TA9;NOK
64246;11/22/2016 3:39:50 PM;GRAMOS;RESOLVED;ATOS - SIEMENS;ATOS - SIEMENS GROUP;NC;Brazil;Americas;GRAMOS;NETAPP;STORAGE;HDD problem;11/24/2016 1:30:00 PM;Customer;Customer;H+4 SITE 24;11/24/2016 5:30:22 PM;O;CALL;;OK;;700000712439;OK
64224;11/22/2016 12:20:43 PM;GRAMOS;CLOSED;CAPGEMINI - BRADESCO;CAPGEMINI - BANCO BRADESCO;5691975;Brazil;Americas;GRAMOS;HITACHI;STORAGE;HDD problem;11/24/2016 2:00:00 AM;FOS;Jose Marcelo;H+6 REPAR 24;11/24/2016 8:00:06 AM;C;CALL;11/24/2016 12:23:19 PM;;OK;65014105;OK
