N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
64381;11/24/2016 4:03:37 PM;CHERRIER;IN PROCESS;IBM - SPM;SPM;706012ZYH0;France;Europe;MAGIC;SUN / ORACLE;SERVER;Memory problem;;;;J+2;11/26/2016 4:03:37 PM;O;EXTERNAL_SUPPORT;;NOK;;0534AL5882;NOK
64380;11/24/2016 4:03:31 PM;OBOUCHAM;WAITING CLIENT;AXWAY - AXWAY;AXWAY;NC;France;Europe;OBOUCHAM;DELL;SERVER;HDD problem;;;;J+1;11/25/2016 4:03:31 PM;O;DISPATCH WESTERN EUROPE;;NOK;;1R5CL4J;NOK
64379;11/24/2016 3:48:53 PM;STEPHAN;WAITING CLIENT;ASLEASE - CDISCOUNT;CDISCOUNT;nc;France;Europe;STEPHAN;HP;SERVER;TO BE DEFINED problem;;;;H+4 SITE 24;11/24/2016 7:48:53 PM;O;DISPATCH WESTERN EUROPE;;NOK;;;NOK
64378;11/24/2016 3:46:22 PM;MAGIC;OPENED;;;706012H3ZS;France;Europe;MAGIC;;;;;;;;;O;EXTERNAL_SUPPORT;;NOK;NOK;;NOK
64377;11/24/2016 3:39:40 PM;CHERRIER;SUPPLY CHAIN;IBM - SPM;SPM;706012HZ05;France;Europe;MAGIC;DELL;SERVER;MOTHERBOARD problem;;;;H+4 SITE 24;11/24/2016 7:39:40 PM;O;EXTERNAL_SUPPORT;;NOK;;H584KY1;NOK
64375;11/24/2016 2:57:02 PM;BARKAT;WAITING CLIENT;ANTEMETA - KIABI;KIABI;NC;France;Europe;BARKAT;QUANTUM;ROBOTIC;OPERATING SYSTEM problem;;;;H+4 SITE;11/25/2016 9:57:02 AM;O;DISPATCH WESTERN EUROPE;;NOK;;A0C0152409;NOK
64373;11/24/2016 2:16:53 PM;CHERRIER;PLANNING;SSCS - BAKER MCKENZIE;SSCS - BAKER MCKENZIE;SO 159241;France;Europe;CHERRIER;HP;STORAGE;HDD problem;11/25/2016 12:00:00 PM;livraison sur site;client;J+1;11/25/2016 2:35:06 PM;O;DISPATCH WESTERN EUROPE;;NOK;;3CL822C049;NOK
64370;11/24/2016 1:14:43 PM;STEPHAN;PLANNING;WEBORAMA;WEBORAMA;NC;France;Europe;STEPHAN;DELL;SERVER;HDD problem;11/24/2016 5:00:00 PM;livraison sur site;client;H+4 SITE;11/24/2016 5:14:43 PM;O;DISPATCH WESTERN EUROPE;;NOK;;F5GS65J;NOK
64368;11/24/2016 1:01:16 PM;STEPHAN;CLOSED;EUROPCAR;EUROPCAR;NC;France;Europe;STEPHAN;DELL;SERVER;HDD problem;;;;H+4 SITE 24;11/24/2016 5:26:42 PM;C;DISPATCH WESTERN EUROPE;11/24/2016 1:34:46 PM;OK;;JFDD05J;OK
64354;11/24/2016 11:25:16 AM;OBOUCHAM;CLOSED;ORANGE BUSINESS SERVICES - OBS;OBS;NC;France;Europe;OBOUCHAM;SUN / ORACLE;STORAGE;TO BE DEFINED problem;;;;H+4 SITE;11/25/2016 10:35:56 AM;C;DISPATCH WESTERN EUROPE;11/24/2016 3:36:13 PM;OK;;0744MM2014;OK
