N° Incident;Open Date & Time;Assign To;Status;Customer;End Customer;N° Dossier Client;Country;HUB;Open By;Brend;Model;Component;Planning Date;Partner;Engineer;Couverture / Délais;Date limite;Etat;Groupe de l'opérateur;Close Date & Time;IB_SLA-GTI;IB_SLA-GTR;Serial #;IB_SLA-GBL
64376;11/24/2016 3:20:25 PM;LECOINTE;WAITING CLIENT;HP ES - LUXOTTICA;LUXOTTICA;N/C;Italy;Europe;LECOINTE;IBM;SERVER;HDD problem;;;;J+1;11/25/2016 3:20:25 PM;O;CALL;;NOK;;KD62B2L;NOK
64371;11/24/2016 1:15:10 PM;FPARISI;SUPPLY CHAIN;TPR;TPR;N/C;Italy;Europe;FPARISI;SUN / ORACLE;SERVER;TO BE DEFINED problem;;;;J+1;11/25/2016 1:15:10 PM;O;CALL;;NOK;;;NOK
64365;11/24/2016 12:48:44 PM;LECOINTE;WAITING CLIENT;ALU - ITALY - BT ECN;BT ECN;N/C;Italy;Europe;LECOINTE;SUN / ORACLE;SERVER;CONFIGURATION problem;;;;BEST_EFFORT;2016-01-12 12:48:44;O;CALL;;OK;;TN64430137;OK
64362;11/24/2016 12:20:14 PM;FPARISI;WAITING CLIENT;DEDALUS - ASL TO 3;ASL PINEROLO;N/C;Italy;Europe;FPARISI;FUJITSU;SERVER;TO BE DEFINED problem;;;;J+1;11/25/2016 12:20:14 PM;O;CALL;;NOK;;YBFU011232;NOK
64361;11/24/2016 12:15:19 PM;LECOINTE;WAITING CLIENT;VMS GROUP - TELECOM ITALIA VIMINALE;TELECOM ITALIA VIMINALE;N/C;Italy;Europe;LECOINTE;HP;STORAGE;HDD problem;;;;H+4 SITE;11/24/2016 4:15:19 PM;O;CALL;;NOK;;GB808330SH;NOK
64360;11/24/2016 12:15:15 PM;LECOINTE;WAITING CLIENT;VMS GROUP - TELECOM ITALIA VIMINALE;TELECOM ITALIA VIMINALE;N/C;Italy;Europe;LECOINTE;HP;SERVER;HDD problem;;;;H+4 SITE;11/24/2016 4:15:15 PM;O;CALL;;NOK;;CZC8341Y7N;NOK
64359;11/24/2016 12:01:06 PM;DFURCAS;PLANNING;APOGEO - APOGEO;APOGEO ITS;KALER-2318781-BRESCIA5;Italy;Europe;DFURCAS;HP;SERVER;HDD problem;11/25/2016 3:00:00 PM;apogoe;cobelli / sileo;J+1;11/25/2016 12:01:06 PM;O;CALL;;NOK;;;NOK
64356;11/24/2016 11:45:38 AM;DFURCAS;SUPPLY CHAIN;HP - SPM;SKY MILANO;5315217466;Italy;Europe;DFURCAS;HP;SERVER;TO BE DEFINED problem;;;;J+1;11/25/2016 12:33:44 PM;O;CALL;;NOK;;;NOK
64350;11/24/2016 10:49:15 AM;FPARISI;SUPPLY CHAIN;IT-ENGINEERING - CEN;IT-ENGINEERING - CEN;N/C;Italy;Europe;FPARISI;EMC;SERVER;DRIVE problem;;;;H+4 SITE;11/24/2016 5:27:11 PM;O;CALL;;NOK;;QP0746BDC0;NOK
64345;11/24/2016 9:51:04 AM;FPARISI;PLANNING;IBM - NIP;ESSELUNGA;A1SXWML;Italy;Europe;FPARISI;DELL;SERVER;BATTERY Problem;11/25/2016 3:00:00 PM;IB ITALIA DCS;Leonardo Durante;BEST_EFFORT;2016-01-12 09:51:04;O;CALL;;OK;;CGVT85J;OK
64330;11/23/2016 7:55:43 PM;FPARISI;WAITING CLIENT;IT-ALDEBRA - AZIENDA ULSS;AZIENDA ULSS;N/C;Italy;Europe;FPARISI;EMC;SERVER;TO BE DEFINED problem;;;;H+4 SITE;11/24/2016 1:00:00 PM;O;CALL;;NOK;;CK200104400102;NOK
64328;11/23/2016 5:48:33 PM;FPARISI;PLANNING;IBM - NIP;ENI GENOVA;A25XJYS;Italy;Europe;FPARISI;CISCO;NETWORK;POWER problem;11/25/2016 7:00:00 PM;-;Gabriele Massili;H+4 SITE;11/24/2016 12:48:33 PM;O;CALL;;NOK;;;NOK
64327;11/23/2016 5:48:28 PM;FPARISI;PLANNING;IBM - NIP;ENI GENOVA;A25XJYM;Italy;Europe;FPARISI;CISCO;NETWORK;Network interface problem;11/25/2016 7:00:00 PM;-;Gabriele Massili;H+4 SITE;11/24/2016 12:48:28 PM;O;CALL;;NOK;;;NOK
64320;11/23/2016 3:56:54 PM;LECOINTE;WAITING CLIENT;APOGEO - APOGEO;APOGEO ITS;2016-CP001-1-0_LT_14;Italy;Europe;LECOINTE;SUN / ORACLE;SERVER;POWER problem;;;;J+1;11/24/2016 3:56:54 PM;O;CALL;;NOK;;;NOK
64319;11/23/2016 3:55:47 PM;DFURCAS;CLOSED;TPR;TPR;NC;Italy;Europe;DFURCAS;HITACHI;SERVER;HDD problem;11/24/2016 3:00:00 PM;TPR;TECNICI TPR;J+1;11/25/2016 2:57:51 PM;C;CALL;11/24/2016 3:21:23 PM;OK;;;OK
64315;11/23/2016 3:14:34 PM;FPARISI;PLANNING;HP - SPM;LEONARDO SPA;5315191031;Italy;Europe;FPARISI;CISCO;NETWORK;POWER problem;11/25/2016 5:00:00 PM;TNT;Corriere;J+1;11/24/2016 3:14:34 PM;O;CALL;;NOK;;FCQ1702X2VT;NOK
64308;11/23/2016 2:25:38 PM;SADDOLORATO;WAITING CLIENT;TELECOMO -;TELECOM PADOVA;;Italy;Europe;SADDOLORATO;SUN / ORACLE;SERVER;Memory problem;;;;BEST_EFFORT;11/30/2016 2:25:38 PM;O;CALL;;OK;;;OK
64307;11/23/2016 1:58:19 PM;LECOINTE;PLANNING;ARS LOGICA - ARPA;ARPA;N/C;Italy;Europe;LECOINTE;HP;SERVER;POWER problem;11/24/2016 5:00:00 PM;ARPA;Federico de Santis;H+4 SITE;11/23/2016 5:58:19 PM;O;CALL;;NOK;;CZC8457QQ5;NOK
64303;11/23/2016 1:37:44 PM;SADDOLORATO;SUPPLY CHAIN;DATA MANAGEMENT;DATA MANAGEMENT;;Italy;Europe;SADDOLORATO;HP;SERVER;INSTALLATION problem;;;;BEST_EFFORT;11/30/2016 1:37:44 PM;O;CALL;;OK;;;OK
64291;11/23/2016 12:09:32 PM;LECOINTE;WAITING CLIENT;HP - SPM;TELECOM ORIOLO;5315184802;Italy;Europe;LECOINTE;FUJITSU;SERVER;TO BE DEFINED problem;;;;H+8;11/24/2016 11:09:32 AM;O;CALL;;NOK;;YBEL012365;NOK
64286;11/23/2016 11:14:22 AM;SADDOLORATO;RESOLVED;HP - SPM;TELECOM POMEZIA;5315183305;Italy;Europe;SADDOLORATO;DELL;SERVER;HDD problem;;;;H+4 SITE 24;11/23/2016 5:15:35 PM;O;CALL;;OK;;79Z5K4J;OK
64284;11/23/2016 11:01:19 AM;SADDOLORATO;DIAGNOSTIC;HP - SPM;TELECOM PADOVA;5315180983;Italy;Europe;SADDOLORATO;BROCADE;SERVER;NO HW Problem;;;;BEST_EFFORT;11/30/2016 11:01:19 AM;O;CALL;;OK;;;OK
64283;11/23/2016 10:34:17 AM;FPARISI;SUPPLY CHAIN;TPR;TPR;N/C;Italy;Europe;FPARISI;CISCO;NETWORK;POWER problem;;;;J+1;11/24/2016 10:34:17 AM;O;CALL;;NOK;;;NOK
64282;11/23/2016 10:31:10 AM;DFURCAS;WAITING CLIENT;HP - SPM;H3G TREZZANO;5315161512;Italy;Europe;DFURCAS;SUN / ORACLE;SERVER;HDD problem;;;;H+6 REPAR 24;11/23/2016 4:31:10 PM;O;CALL;;;NOK;;NOK
64280;11/23/2016 10:10:21 AM;FPARISI;CLOSED;CONDOTTE SEDI PERIFERICHE;CONDOTTE SEDI PERIFERICHE;N/C;Italy;Europe;FPARISI;DELL;SERVER;HDD problem;11/23/2016 7:00:00 PM;-;Rodolfo Rasseni;H+4 SITE;11/23/2016 4:53:47 PM;C;CALL;11/23/2016 2:24:22 PM;OK;;DJ1S95J;OK
64279;11/23/2016 10:06:30 AM;SADDOLORATO;WAITING CLIENT;TELINDUS LUXEMBOURG - FIDELITY;TELINDUS LUXEMBOURG;MS-201611-02510;Italy;Europe;SADDOLORATO;HP;SERVER;TO BE DEFINED problem;;;;H+4 SITE 24;11/23/2016 2:06:30 PM;O;CALL;;NOK;;CZJ3220C9K;NOK
64262;11/22/2016 6:29:51 PM;SADDOLORATO;PLANNING;APOGEO - APOGEO;APOGEO ITS;SUP-0472ASSTLARIANA0;Italy;Europe;SADDOLORATO;SUN / ORACLE;SERVER;HDD problem;11/25/2016 11:00:00 AM;TNT;Corriere;J+1;11/23/2016 6:29:51 PM;O;CALL;;NOK;;;NOK
64260;11/22/2016 5:29:51 PM;FPARISI;CLOSED;TPR;TPR;N/C;Italy;Europe;FPARISI;SUN / ORACLE;SERVER;POWER problem;;;;J+1;11/23/2016 8:58:57 PM;C;CALL;11/23/2016 2:26:53 PM;OK;;;OK
64254;11/22/2016 4:33:33 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;16ORDF17049-0003A02_55;Italy;Europe;DFURCAS;EMC;SERVER;HDD problem;11/23/2016 4:00:00 PM;apogeo;tecnici apogeo;J+1;11/24/2016 3:39:00 PM;C;CALL;11/23/2016 4:37:05 PM;OK;;;OK
64251;11/22/2016 4:02:09 PM;DFURCAS;CLOSED;HP - SPM;COGETECH/TI;5315158577;Italy;Europe;DFURCAS;DELL;SERVER;TO BE DEFINED problem;;;;J+1;11/23/2016 4:02:09 PM;C;CALL;11/22/2016 5:47:15 PM;OK;;;OK
64244;11/22/2016 3:17:19 PM;FPARISI;CLOSED;APOGEO - APOGEO;APOGEO ITS;SUP-506AGFAGEVAERT105;Italy;Europe;FPARISI;SUN / ORACLE;SERVER;HDD problem;11/24/2016 4:00:00 PM;TNT;Corriere;J+1;11/25/2016 2:37:42 PM;C;CALL;11/24/2016 2:52:13 PM;OK;;;OK
64242;11/22/2016 2:44:47 PM;DFURCAS;WAITING CLIENT;HP - SPM;AGUSTA WESTLAND;5315151244;Italy;Europe;DFURCAS;CISCO;SERVER;FAN problem;;;;J+1;11/23/2016 2:44:47 PM;O;CALL;;NOK;;;NOK
64241;11/22/2016 2:41:59 PM;FPARISI;WAITING CLIENT;HP - SPM;AGUSTA WESTLAND;5315151759;Italy;Europe;FPARISI;CISCO;NETWORK;TO BE DEFINED problem;;;;J+1;11/23/2016 2:41:59 PM;O;CALL;;NOK;;FOC1307Y10X;NOK
64236;11/22/2016 2:03:29 PM;FPARISI;RESOLVED;HP - SPM;AGUSTA WESTLAND;5315151536;Italy;Europe;FPARISI;CISCO;NETWORK;POWER problem;11/23/2016 7:00:00 PM;TNT;Corriere;J+1;11/24/2016 6:19:05 PM;O;CALL;;OK;;FOC1412V1SS;OK
64233;11/22/2016 1:09:49 PM;FPARISI;WAITING CLIENT;IBM - NIP;AKZONOBEL;A25X0GK;Italy;Europe;FPARISI;CISCO;NETWORK;TO BE DEFINED problem;;;;J+1;11/23/2016 1:09:49 PM;O;CALL;;NOK;;;NOK
64229;11/22/2016 12:47:57 PM;FPARISI;CLOSED;TPR;TPR;N/C;Italy;Europe;FPARISI;HP;NETWORK;HDD problem;11/24/2016 12:00:00 PM;TNT;Corriere;J+1;11/25/2016 11:52:40 AM;C;CALL;11/24/2016 2:48:04 PM;OK;;;OK
64228;11/22/2016 12:43:20 PM;FPARISI;INTERVENTION;HP - SPM;FENDI ITALIA SRL;5315151772;Italy;Europe;FPARISI;IBM;SERVER;TO BE DEFINED problem;11/23/2016 7:00:00 PM;IB ITALIA DCS;Filippo Marro;H+4 SITE;11/22/2016 5:57:28 PM;O;CALL;;NOK;;;NOK
64218;11/22/2016 11:42:35 AM;DFURCAS;RESOLVED;HP - SPM;TELECOM SPARKLE;5314937906;Italy;Europe;DFURCAS;IBM;SERVER;HDD problem;11/24/2016 2:00:00 PM;TTS;BENEDETTI / GALASSI;H+8;11/25/2016 12:59:46 PM;O;CALL;;OK;;;OK
64217;11/22/2016 11:35:26 AM;FPARISI;CLOSED;APOGEO - APOGEO;APOGEO ITS;KINFRAC-6983-ASS282;Italy;Europe;FPARISI;EMC;SERVER;HDD problem;11/24/2016 11:00:00 AM;TNT;Corriere;J+1;11/25/2016 10:44:10 AM;C;CALL;11/24/2016 11:34:20 AM;OK;;;OK
64209;11/22/2016 10:41:04 AM;DFURCAS;CLOSED;TPR;TPR;NC;Italy;Europe;DFURCAS;HP;SERVER;HDD problem;11/23/2016 11:00:00 AM;TPR;NOVIELLO / BOCCARDELLI;J+1;11/24/2016 10:07:48 AM;C;CALL;11/23/2016 11:47:51 AM;OK;;;OK
64205;11/22/2016 10:04:31 AM;FPARISI;CLOSED;HP - SPM;GROUPM;5315126381;Italy;Europe;FPARISI;HP;NETWORK;TO BE DEFINED problem;;;;BEST_EFFORT;11/29/2016 10:04:31 AM;C;CALL;11/22/2016 10:59:05 AM;OK;;;OK
64200;11/22/2016 9:45:56 AM;FPARISI;INTERVENTION;TPR;TPR;N/C;Italy;Europe;FPARISI;NETAPP;NETWORK;HDD problem;11/24/2016 12:00:00 PM;TNT;Corriere;J+1;11/25/2016 11:51:57 AM;O;CALL;;NOK;;;NOK
64199;11/22/2016 9:45:50 AM;DFURCAS;CLOSED;TPR;TPR;NC;Italy;Europe;DFURCAS;EMC;SERVER;HDD problem;11/23/2016 3:00:00 PM;tpr;noviello / boccardelli;J+1;11/24/2016 2:50:46 PM;C;CALL;11/23/2016 3:52:40 PM;OK;;;OK
64198;11/22/2016 9:42:32 AM;DFURCAS;WAITING CLIENT;APOGEO - APOGEO;APOGEO ITS;2016-CP001-1-0_LT_13;Italy;Europe;DFURCAS;SUN / ORACLE;SERVER;POWER problem;;;;J+1;11/23/2016 9:42:32 AM;O;CALL;;NOK;;;NOK
64196;11/22/2016 9:24:57 AM;DFURCAS;PLANNING;TPR;TPR;NC;Italy;Europe;DFURCAS;SUN / ORACLE;SERVER;TO BE DEFINED problem;11/28/2016 1:00:00 PM;DHL;Corriere;J+1;11/23/2016 9:24:57 AM;O;CALL;;NOK;;;NOK
64172;11/21/2016 6:28:21 PM;LECOINTE;INTERVENTION;ALU - ITALY - BT ECN;BT ECN;N/C;Italy;Europe;LECOINTE;SUN / ORACLE;STORAGE;POWER problem;11/24/2016 12:30:00 PM;IB ITALIA DCS SRL;CHIEPPA/DURANTE;H+4 SITE;11/24/2016 4:30:25 PM;O;CALL;;NOK;;1094BUD-06410A2952;NOK
64171;11/21/2016 6:28:11 PM;LECOINTE;INTERVENTION;ALU - ITALY - BT ECN;BT ECN;N/C;Italy;Europe;LECOINTE;SUN / ORACLE;SERVER;BATTERY Problem;11/24/2016 12:30:00 PM;IB ITALIA DCS SRL;CHIEPPA/DURANTE;BEST_EFFORT;11/30/2016 12:30:25 PM;O;CALL;;OK;;TN64430137;OK
64166;11/21/2016 5:00:24 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;SUP-506AGFAGEVAERT104;Italy;Europe;DFURCAS;HP;SERVER;HDD problem;11/22/2016 5:00:00 PM;apogeo;tecnici apogeo;J+1;11/23/2016 4:58:17 PM;C;CALL;11/22/2016 5:46:10 PM;OK;;;OK
64164;11/21/2016 4:51:03 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;SUP-506AGFAGEVAERT103;Italy;Europe;DFURCAS;NETAPP;SERVER;FAN problem;11/22/2016 4:00:00 PM;apogeo;varriale;J+1;11/23/2016 3:53:44 PM;C;CALL;11/22/2016 5:41:25 PM;OK;;;OK
64157;11/21/2016 3:53:02 PM;DFURCAS;CLOSED;IT-ALDEBRA - AZIENDA ULSS;AZIENDA ULSS;NC;Italy;Europe;DFURCAS;EMC;SERVER;TO BE DEFINED problem;;;;H+4 SITE 24;11/21/2016 7:53:02 PM;C;CALL;11/23/2016 5:52:53 PM;OK;;CK200104400102;OK
64155;11/21/2016 3:41:43 PM;FPARISI;PLANNING;APOGEO - APOGEO;APOGEO ITS;KLFOUN-4500017441-AVEZ1;Italy;Europe;FPARISI;CISCO;NETWORK;TO BE DEFINED problem;11/24/2016 5:00:00 PM;IB ITALIA DCS;Leonardo Durante;H+4 SITE;11/22/2016 10:41:43 AM;O;CALL;;NOK;;;NOK
64153;11/21/2016 3:23:14 PM;FPARISI;RESOLVED;HP - SPM;MOTORIZZAZIONE CIVILE;5315107956;Italy;Europe;FPARISI;CISCO;NETWORK;TO BE DEFINED problem;11/24/2016 2:00:00 PM;TNT;Corriere;J+1;11/23/2016 10:06:13 PM;O;CALL;;OK;;JMX1240L0U3;OK
64152;11/21/2016 3:15:13 PM;FPARISI;WAITING CLIENT;HP - SPM;TELECOM POMEZIA;5315118417;Italy;Europe;FPARISI;SUN / ORACLE;SERVER;TO BE DEFINED problem;;;;H+8;11/22/2016 2:15:13 PM;O;CALL;;NOK;;;NOK
64147;11/21/2016 2:58:33 PM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;SUP-0459SIEMENS6;Italy;Europe;DFURCAS;DELL;SERVER;BATTERY Problem;11/22/2016 4:00:00 PM;apogeo;tecnici apogeo;BEST_EFFORT;11/29/2016 2:54:33 PM;C;CALL;11/22/2016 5:41:29 PM;OK;;;OK
64146;11/21/2016 2:51:46 PM;FPARISI;WAITING CLIENT;HP - SPM;TELECOM POMEZIA;5315117486;Italy;Europe;FPARISI;DELL;SERVER;TO BE DEFINED problem;;;;BEST_EFFORT;11/28/2016 2:51:46 PM;O;CALL;;OK;;;OK
64137;11/21/2016 2:18:21 PM;DFURCAS;CLOSED;HP - SPM;TELECOM POMEZIA;5315115727;Italy;Europe;DFURCAS;DELL;SERVER;HDD problem;;;;H+8;11/23/2016 5:08:37 PM;C;CALL;11/23/2016 9:36:38 AM;OK;;;OK
64133;11/21/2016 1:14:11 PM;FPARISI;PLANNING;APOGEO - APOGEO;APOGEO ITS;KINFRAC-6983-ASS281;Italy;Europe;FPARISI;EMC;SERVER;BATTERY Problem;11/25/2016 4:00:00 PM;TNT;Corriere;BEST_EFFORT;11/29/2016 5:51:35 PM;O;CALL;;OK;;;OK
64131;11/21/2016 12:46:40 PM;FPARISI;DIAGNOSTIC;IBM - NIP;ANSALDO;CS307704;Italy;Europe;FPARISI;IBM;SERVER;TO BE DEFINED problem;;;;BEST_EFFORT;11/28/2016 12:46:40 PM;O;CALL;;OK;;;OK
64130;11/21/2016 12:46:36 PM;FPARISI;DIAGNOSTIC;IBM - NIP;ANSALDO;CS307705;Italy;Europe;FPARISI;IBM;SERVER;TO BE DEFINED problem;;;;BEST_EFFORT;11/28/2016 12:46:36 PM;O;CALL;;OK;;;OK
64128;11/21/2016 12:34:57 PM;SADDOLORATO;CLOSED;HP - SPM;TELECOM NAPOLI;5315113586;Italy;Europe;SADDOLORATO;HITACHI;SERVER;HDD problem;11/22/2016 7:00:00 PM;-;tecnico Assistcom;H+8;11/23/2016 4:09:58 PM;C;CALL;11/22/2016 6:33:56 PM;OK;;68017438;OK
64125;11/21/2016 12:17:00 PM;DFURCAS;SUPPLY CHAIN;TPR;TPR;NC;Italy;Europe;DFURCAS;HP;SERVER;BATTERY Problem;;;;BEST_EFFORT;11/28/2016 12:17:00 PM;O;CALL;;OK;;;OK
64123;11/21/2016 11:56:05 AM;FPARISI;WAITING CLIENT;HP - SPM;ENI MESTRE;5315090821;Italy;Europe;FPARISI;DELL;SERVER;BATTERY Problem;;;;BEST_EFFORT;11/28/2016 11:56:05 AM;O;CALL;;OK;;;OK
64121;11/21/2016 11:32:21 AM;FPARISI;WAITING CLIENT;HUAWEI - WIND;HUAWEI - WIND;68283811;Italy;Europe;FPARISI;HUAWEI;SERVER;HDD problem;;;;H+4 SITE;11/21/2016 3:32:21 PM;O;CALL;;NOK;;;NOK
64120;11/21/2016 11:20:51 AM;DFURCAS;WAITING CLIENT;HUAWEI - WIND;HUAWEI - WIND;7072838;Italy;Europe;DFURCAS;HUAWEI;SERVER;Memory problem;11/23/2016 5:00:00 PM;ib italia dcs;durante;H+4 SITE 24;11/23/2016 8:56:33 PM;O;CALL;;NOK;;;NOK
64118;11/21/2016 11:05:19 AM;SADDOLORATO;SUPPLY CHAIN;ERREVI-ERREVI;ERREVI;;Italy;Europe;SADDOLORATO;EMC;SERVER;HDD problem;;;;J+1;11/25/2016 9:45:10 AM;O;CALL;;OK;;CKM00113101008;OK
64117;11/21/2016 10:54:42 AM;DFURCAS;CLOSED;HP - SPM;MOTORIZZAZIONE CIVILE;5315109503;Italy;Europe;DFURCAS;CISCO;SERVER;POWER problem;11/23/2016 4:00:00 PM;hp;tecnici hp;J+1;11/24/2016 3:50:28 PM;C;CALL;11/24/2016 4:09:00 PM;OK;;;OK
64115;11/21/2016 10:48:15 AM;FPARISI;CLOSED;MICROGAME - TELECOM ITALIA;MICROGAME - TELECOM ITALIA;N/C;Italy;Europe;FPARISI;DELL;SERVER;HDD problem;11/22/2016 7:00:00 PM;IB ITALIA DCS;Roberto Vaudi;J+1;11/23/2016 3:24:18 PM;C;CALL;11/22/2016 4:07:37 PM;OK;;GX1WZ4J;OK
64114;11/21/2016 10:48:11 AM;FPARISI;CLOSED;MICROGAME - TELECOM ITALIA;MICROGAME - TELECOM ITALIA;N/C;Italy;Europe;FPARISI;DELL;SERVER;HDD problem;11/22/2016 7:00:00 PM;IB ITALIA DCS;Roberto Vaudi;J+1;11/23/2016 3:23:21 PM;C;CALL;11/22/2016 4:07:25 PM;OK;;4X5XV4J;OK
64111;11/21/2016 10:38:32 AM;FPARISI;DIAGNOSTIC;IBM - NIP;ANSALDO;CS303063;Italy;Europe;FPARISI;IBM;SERVER;TO BE DEFINED problem;;;;BEST_EFFORT;11/28/2016 10:38:32 AM;O;CALL;;OK;;;OK
64110;11/21/2016 10:38:29 AM;FPARISI;DIAGNOSTIC;IBM - NIP;ANSALDO;CS307853;Italy;Europe;FPARISI;IBM;SERVER;TO BE DEFINED problem;;;;BEST_EFFORT;11/28/2016 10:38:29 AM;O;CALL;;OK;;;OK
64104;11/21/2016 10:18:32 AM;DFURCAS;CLOSED;APOGEO - APOGEO;APOGEO ITS;KSIERRA-914248-SUN6;Italy;Europe;DFURCAS;SUN / ORACLE;SERVER;HDD problem;11/22/2016 10:00:00 AM;APOGEO;TECNICI APOGEO;J+1;11/23/2016 9:57:58 AM;C;CALL;11/22/2016 3:22:39 PM;OK;;;OK
64101;11/21/2016 9:37:55 AM;FPARISI;CLOSED;INVENTI - RCR;INVENTI - RCR;N/C;Italy;Europe;FPARISI;CISCO;NETWORK;POWER problem;11/23/2016 10:00:00 AM;TNT;Corriere;H+4 SITE;11/22/2016 2:48:05 PM;C;CALL;11/22/2016 11:07:48 AM;OK;;JAB03090091;OK
64095;11/21/2016 9:07:24 AM;FPARISI;CLOSED;MICHELIN ITALIANA SPA - MICHELIN ITALIANA SPA;MICHELIN ITALIANA SPA;N/C;Italy;Europe;FPARISI;HP;NETWORK;HDD problem;11/23/2016 10:00:00 AM;TNT;Corriere;J+1;11/24/2016 9:45:32 AM;C;CALL;11/24/2016 2:21:34 PM;OK;;AY251K2919;OK
64079;11/20/2016 6:06:10 PM;SADDOLORATO;CLOSED;BANCA SELLA - BANCA SELLA;BANCA SELLA - BANCA SELLA;;Italy;Europe;SADDOLORATO;NETAPP;SERVER;HDD problem;11/22/2016 3:00:00 PM;UPS;Corriere;H+4 SITE 24;11/22/2016 6:52:28 PM;C;CALL;11/23/2016 4:22:30 PM;OK;;2000003274 - 2000001;OK
64077;11/20/2016 4:30:10 PM;SADDOLORATO;CLOSED;HP - PO CROSS;RAI ROMA;;Italy;Europe;SADDOLORATO;HP;SERVER;TO BE DEFINED problem;11/23/2016 6:00:00 PM;DHL;Corriere;BEST_EFFORT;11/29/2016 3:42:22 PM;C;CALL;11/24/2016 11:41:45 AM;OK;;;OK
64074;11/20/2016 3:07:22 PM;SADDOLORATO;CLOSED;HP - SPM;FASTWEB;5315094238;Italy;Europe;SADDOLORATO;HP;SERVER;HDD problem;;;;BEST_EFFORT;11/25/2016 6:00:00 PM;C;CALL;11/21/2016 10:20:28 AM;OK;;;OK
64073;11/20/2016 2:35:26 PM;SADDOLORATO;RESOLVED;SMS - icap;SMS - RECKITT;38873;Italy;Europe;SADDOLORATO;DELL;SERVER;HDD problem;11/24/2016 7:00:00 PM;IB ITALIA DCS;Leonardo Durante;BEST_EFFORT;2016-01-12 11:06:56;O;CALL;;OK;;;OK
